call_id,customer_id,priority,type,date,ivr_in,ivr_out,ivr_time,q_start,q_exit,q_time,outcome,agent_start,agent_exit,ser_time,agent_id
28428,0,0,NW,990101,08:28:47,08:28:57,10,08:28:57,08:29:29,32,AGENT,08:29:28,08:30:12,44,3
28433,0,0,PS,990101,09:28:57,09:29:09,12,00:00:00,00:00:00,0,AGENT,09:29:08,09:30:03,55,3
24054,0,0,PS,990101,11:27:01,11:27:10,9,00:00:00,00:00:00,0,AGENT,11:27:09,11:36:14,545,3
24056,0,0,PS,990101,11:55:18,11:55:27,9,00:00:00,00:00:00,0,AGENT,11:55:27,12:22:06,1599,3
24058,0,0,NW,990101,12:31:20,12:31:33,13,00:00:00,00:00:00,0,AGENT,12:31:32,12:33:07,95,3
24060,0,0,NW,990101,13:18:29,13:18:39,10,13:18:39,13:19:18,39,AGENT,13:19:17,13:23:52,275,3
20712,0,0,PS,990101,10:57:41,10:57:52,11,00:00:00,00:00:00,0,AGENT,10:57:51,10:59:55,124,3
20718,0,0,PS,990101,12:34:12,12:34:20,8,00:00:00,00:00:00,0,AGENT,12:34:19,12:36:05,106,3
33314,0,0,PS,990101,12:53:34,12:53:44,10,00:00:00,00:00:00,0,AGENT,12:53:43,12:57:47,244,3
34058,0,0,PS,990101,08:09:18,08:09:30,12,00:00:00,00:00:00,0,AGENT,08:09:30,08:12:36,186,3
34064,0,0,PS,990101,09:20:27,09:20:46,19,00:00:00,00:00:00,0,AGENT,09:20:45,09:24:59,254,3
34065,0,0,PS,990101,09:31:26,09:31:43,17,00:00:00,00:00:00,0,AGENT,09:31:42,09:34:19,157,3
27874,0,0,NW,990101,08:29:43,08:29:52,9,08:29:52,08:30:26,34,AGENT,08:30:26,08:31:24,58,3
27884,0,0,NW,990101,10:42:01,10:42:15,14,00:00:00,00:00:00,0,AGENT,10:42:13,10:45:53,220,3
27892,0,0,NW,990101,12:58:05,12:58:18,13,00:00:00,00:00:00,0,AGENT,12:58:16,12:59:35,79,3
1471,0,0,TT,990101,10:19:53,10:19:54,1,00:00:00,00:00:00,0,AGENT,10:19:54,10:19:54,0,3
